player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
P. Goldschmidt,5,0,1,0,0,0,1,.340,.391,.476
T. Grisham,5,1,1,0,0,0,1,.276,.366,.612
A. Judge,5,2,2,3,2,0,2,.396,.486,.772
C. Bellinger,4,1,2,0,0,1,1,.224,.299,.392
A. Volpe,4,1,1,0,0,1,2,.230,.319,.417
A. Wells,1,0,0,1,0,1,0,.211,.271,.465
J. Dominguez,3,1,0,0,0,1,0,.243,.336,.450
P. Reyes,2,0,1,0,0,0,1,.182,.250,.182
O. Cabrera,1,0,0,1,0,0,0,.242,.315,.303
O. Peraza,3,1,1,2,1,0,0,.205,.271,.386
B. Rice,1,0,0,0,0,0,1,.258,.355,.550
J. Vivas,0,0,0,0,0,0,0,.200,.333,.267
