player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Bichette,4,0,0,0,0,0,0,.286,.348,.357
V. Guerrero Jr.,4,0,0,0,0,1,0,.256,.333,.333
A. Santander,2,0,0,0,0,2,1,.194,.326,.222
A. Gimenez,3,0,0,1,0,0,2,.243,.349,.541
A. Kirk,4,0,2,0,0,0,0,.258,.250,.290
G. Springer,0,0,0,0,0,0,0,.379,.455,.621
E. Clement,2,0,0,0,0,2,0,.105,.250,.158
D. Schneider,2,0,0,0,0,0,1,.000,.231,.000
A. Roden,1,0,0,0,0,0,0,.318,.407,.409
T. Heineman,4,1,1,0,0,0,2,.364,.364,.727
M. Straw,3,0,1,0,0,0,2,.357,.357,.500
N. Lukes,1,0,0,0,0,0,0,.111,.273,.111
