player,ip,h,r,er,bb,k,hr,pc_st,era
P. Corbin,5.0,5,3,3,2,3,1,86-52,3.59
J. Webb,1.0,1,0,0,0,1,0,18-11,4.03
C. Boushley,2.0,3,2,2,1,2,1,34-21,5.14
