player,ip,h,r,er,bb,k,hr,pc_st,era
C. Patrick,5.2,6,3,3,0,4,0,102-63,2.87
C. Yoho,1.0,3,5,5,4,0,1,35-13,9.53
J. Payamps,0.1,0,0,0,0,0,0,4-4,10.32
J. Bauers,1.0,0,0,0,0,0,0,10-7,0.00
