player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Meidroth,5,0,2,1,0,0,1,.301,.381,.376
M. Vargas,4,0,0,0,0,0,2,.234,.313,.398
M. Thaiss,4,1,1,0,0,0,2,.217,.371,.301
L. Robert Jr.,4,0,0,0,0,0,3,.178,.270,.294
L. Sosa,4,1,1,2,1,0,0,.272,.289,.395
J. Palacios,3,1,1,1,1,1,1,.218,.320,.333
A. Vaughn,4,0,2,0,0,0,0,.189,.218,.314
V. Capra,0,0,0,0,0,0,0,.000,.000,.000
T. Elko,4,2,1,1,1,0,1,.161,.188,.452
J. Rojas,2,0,0,0,0,1,0,.143,.250,.143
M. Taylor,0,0,0,0,0,0,0,.194,.250,.344
E. Quero,1,0,0,0,0,0,0,.264,.354,.299
