player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J.P. Crawford,6,0,2,2,0,0,1,.292,.419,.385
J. Polanco,2,1,1,0,0,1,0,.387,.427,.800
M. Garver,2,1,1,0,0,1,0,.229,.383,.313
J. Rodriguez,4,2,2,2,1,0,0,.216,.315,.400
S. Taylor,2,0,0,0,0,0,0,.167,.167,.167
C. Raleigh,4,2,2,5,2,0,0,.242,.350,.592
R. Arozarena,3,1,1,0,0,1,1,.211,.363,.413
L. Rivas,1,0,0,0,0,0,0,.355,.500,.355
R. Tellez,5,2,3,1,0,0,0,.194,.261,.419
M. Mastrobuoni,5,2,2,0,0,0,0,.235,.339,.255
B. Williamson,5,1,2,1,0,0,1,.273,.310,.382
R. Thomas,4,1,1,2,0,0,0,.250,.200,.500
