player,ip,h,r,er,bb,k,hr,pc_st,era
J. Springs,6.2,2,1,1,0,5,1,84-54,3.91
J. Sterner,0.1,0,0,0,1,0,0,10-4,1.99
T. Ferguson,0.2,3,2,2,1,0,0,23-15,4.71
G. Holman,0.1,0,0,0,0,0,0,2-2,0.68
