player,ip,h,r,er,bb,k,hr,pc_st,era
J. Soriano,7.0,4,2,0,3,5,0,107-62,3.46
R. Zeferjahn,0.2,1,2,2,3,1,0,27-13,4.73
H. Neris,0.1,0,0,0,1,1,0,9-5,13.50
K. Jansen,0.0,1,2,2,1,0,1,11-5,6.55
