player,ip,h,r,er,bb,k,hr,pc_st,era
Z. Wheeler,7.0,3,1,1,0,10,1,105-67,1.38
M. Strahm,1.0,0,0,0,2,2,0,30-16,0.00
J. Alvarado,1.0,1,0,0,0,2,0,13-8,0.00
