player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Y. Diaz,4,0,0,0,0,0,1,.248,.299,.418
C. Morel,3,1,1,0,0,1,1,.223,.310,.369
T. Jankowski,0,1,0,0,0,0,0,.278,.316,.333
J. Caminero,4,0,2,0,0,0,0,.252,.282,.446
B. Lowe,4,1,1,1,1,0,1,.200,.250,.323
D. Jansen,3,0,0,0,0,1,1,.152,.302,.215
C. Mead,4,0,1,0,0,0,2,.169,.242,.186
K. Misner,0,0,0,0,0,0,0,.260,.303,.440
T. Walls,2,1,1,1,0,2,0,.211,.298,.256
J. Caballero,2,0,1,0,0,1,0,.244,.337,.359
J. Aranda,1,0,0,0,0,0,1,.330,.424,.557
C. Simpson,3,0,0,0,0,0,0,.258,.286,.273
