player,ip,h,r,er,bb,k,hr,pc_st,era
L. Castillo,7.0,5,2,2,2,5,1,92-66,3.00
G. Speier,1.0,0,0,0,0,1,0,12-9,0.00
A. Munoz,1.0,1,0,0,2,2,0,25-13,0.00
