player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
R. Jeffers,2,1,1,0,0,3,1,.271,.361,.411
B. Lee,4,0,0,0,0,1,2,.241,.288,.379
R. Lewis,4,0,1,0,0,1,1,.209,.277,.326
T. France,4,0,1,1,0,0,0,.253,.319,.353
R. Fitzgerald,0,1,0,0,0,0,0,.000,.000,.000
T. Larnach,4,1,2,0,0,0,1,.250,.328,.415
D. Keirsey Jr.,1,1,0,0,0,0,0,.118,.135,.176
J. Bride,5,0,3,0,0,0,1,.333,.372,.385
C. McCusker,1,0,0,0,0,0,1,.000,.000,.000
K. Clemens,3,1,2,2,0,0,1,.325,.400,.700
H. Bader,3,1,1,2,0,0,0,.281,.362,.430
W. Castro,3,0,1,1,0,1,0,.238,.313,.376
