player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. India,5,2,3,2,0,0,0,.375,.474,.375
C. Biggio,1,0,1,1,0,0,0,.286,.375,.286
B. Witt Jr.,5,1,2,1,0,0,0,.278,.350,.333
V. Pasquantino,5,0,0,1,0,0,1,.214,.353,.643
F. Fermin,1,0,0,0,0,0,1,.000,.000,.000
S. Perez,4,1,2,1,1,1,1,.313,.353,.500
M. Massey,4,2,2,1,0,0,1,.267,.250,.333
T. Tolbert,1,0,0,0,0,0,1,.000,.000,.000
H. Renfroe,4,0,1,2,0,1,0,.182,.308,.273
M. Melendez,5,1,1,0,0,0,2,.091,.091,.091
M. Canha,3,2,1,0,0,1,0,.250,.500,.500
M. Garcia,3,2,1,2,1,2,0,.385,.467,.923
