player,ip,h,r,er,bb,k,hr,pc_st,era
T. Gonsolin,4.0,4,4,4,5,3,2,97-53,4.05
L. Trivino,2.0,0,0,0,1,2,0,41-25,5.02
A. Banda,2.0,2,1,1,0,2,1,33-19,4.37
L. Garcia,1.0,2,1,1,0,1,0,17-10,4.57
