player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Mead,4,0,0,0,0,0,2,.000,.000,.000
Y. Diaz,4,0,1,0,0,0,0,.250,.250,.250
B. Lowe,4,1,1,0,0,0,1,.250,.250,.250
J. Caminero,4,1,1,0,0,0,1,.250,.250,.500
C. Morel,2,0,0,0,0,0,1,.000,.000,.000
J. Aranda,0,0,0,1,0,0,0,.000,.000,.000
K. Misner,1,1,1,1,1,0,0,1.000,1.000,4.000
D. Jansen,2,0,0,0,0,1,2,.000,.333,.000
J. Lowe,2,0,1,0,0,0,0,.500,.500,.500
J. Caballero,1,0,1,1,0,0,0,1.000,1.000,1.000
J. DeLuca,3,0,1,0,0,0,1,.333,.333,.333
T. Walls,3,0,0,0,0,0,1,.000,.000,.000
