player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Stott,5,1,2,2,0,0,2,.270,.336,.381
T. Turner,4,2,2,2,1,0,0,.307,.375,.394
E. Sosa,1,0,0,0,0,0,0,.341,.391,.439
B. Harper,3,0,1,2,0,1,0,.243,.368,.426
W. Wilson,1,0,0,0,0,0,0,.300,.300,.600
K. Schwarber,5,0,2,0,0,0,0,.264,.410,.581
N. Castellanos,5,0,1,0,0,0,1,.285,.331,.445
B. Marsh,0,0,0,0,0,0,0,.143,.259,.224
M. Kepler,5,0,1,0,0,0,1,.252,.336,.443
J.T. Realmuto,3,1,0,0,0,1,2,.235,.307,.374
R. Marchan,0,0,0,0,0,0,0,.100,.250,.100
A. Bohm,4,1,1,0,0,0,2,.237,.273,.311
J. Rojas,3,2,1,1,0,0,1,.303,.342,.409
