player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
K. Schwarber,5,1,2,3,1,0,2,.444,.500,1.111
K. Clemens,1,0,0,0,0,0,0,.000,.000,.000
A. Bohm,5,0,2,0,0,1,0,.400,.455,.500
B. Harper,5,1,2,0,0,0,0,.333,.400,.667
J.T. Realmuto,4,0,0,0,0,0,0,.111,.111,.333
R. Marchan,0,0,0,0,0,1,0,.000,1.000,.000
M. Kepler,4,1,0,0,0,1,2,.143,.400,.286
N. Castellanos,2,2,0,0,0,2,0,.167,.444,.167
J. Rojas,1,0,1,1,0,0,0,1.000,1.000,1.000
B. Stott,3,3,2,2,1,2,0,.286,.444,.857
B. Marsh,5,2,3,3,1,0,0,.333,.333,.667
E. Sosa,4,1,2,1,0,1,1,.500,.600,.750
