player,ip,h,r,er,bb,k,hr,pc_st,era
Y. Yamamoto,7.0,5,0,0,0,10,0,102-68,0.93
K. Yates,1.0,0,0,0,0,2,0,11-7,1.74
T. Scott,1.0,2,0,0,0,0,0,17-13,2.45
