player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Rice,5,1,1,2,1,0,2,.306,.419,.667
A. Judge,4,0,2,2,0,1,1,.354,.446,.792
C. Bellinger,4,0,0,0,0,1,3,.206,.268,.294
P. Goldschmidt,5,0,2,0,0,0,0,.383,.431,.511
J. Chisholm Jr.,4,0,0,0,0,1,2,.180,.255,.460
A. Volpe,3,0,0,0,0,1,2,.234,.321,.553
J. Dominguez,3,0,0,0,0,0,2,.205,.295,.359
T. Grisham,1,0,0,0,0,0,0,.367,.441,.700
J.C. Escarra,2,0,0,0,0,1,1,.125,.300,.250
P. Reyes,0,1,0,0,0,0,0,.000,.143,.000
A. Wells,0,0,0,0,0,0,0,.189,.279,.432
O. Cabrera,3,2,2,0,0,0,0,.308,.379,.308
