player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
I. Happ,4,1,0,0,0,2,2,.179,.343,.321
G. Workman,1,0,0,0,0,0,0,.000,.000,.000
K. Tucker,7,4,4,3,1,0,0,.323,.400,.742
S. Suzuki,5,1,2,1,0,1,3,.200,.265,.367
M. Busch,6,2,3,4,1,0,0,.292,.393,.417
D. Swanson,5,2,2,3,1,1,0,.259,.333,.556
C. Rea,1,0,0,0,0,0,1,.000,.000,.000
N. Hoerner,4,2,3,1,0,1,0,.375,.444,.375
J. Berti,2,0,0,0,0,0,0,.333,.385,.333
P. Crow-Armstrong,5,1,2,1,0,1,1,.148,.233,.222
M. Shaw,4,2,1,0,0,2,0,.185,.267,.333
C. Kelly,4,3,4,5,1,2,0,.500,.615,1.100
