player,ip,h,r,er,bb,k,hr,pc_st,era
A. Heaney,6.0,3,4,4,2,6,1,89-56,3.00
K. Nicolas,0.1,1,1,1,1,0,0,15-9,27.00
T. Mayza,1.2,0,0,0,0,1,0,23-17,4.05
