player,ip,h,r,er,bb,k,hr,pc_st,era
P. Lopez,7.0,4,1,1,1,5,1,98-67,2.25
J. Duran,1.0,1,0,0,0,1,0,11-8,6.75
D. Coulombe,1.0,1,0,0,0,1,0,12-10,0.00
