player,ip,h,r,er,bb,k,hr,pc_st,era
D. Rasmussen,5.0,5,4,4,1,5,1,82-58,2.10
M. Rodriguez,1.0,0,0,0,0,1,0,16-11,2.70
H. Bigge,2.0,0,0,0,1,0,0,21-13,3.00
E. Uceta,1.0,1,0,0,0,0,0,9-5,4.35
P. Fairbanks,1.0,0,0,0,1,1,0,15-9,2.89
