player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Doyle,4,0,1,0,0,0,0,.222,.272,.349
J. Beck,3,0,0,0,0,1,2,.265,.327,.539
R. McMahon,4,0,1,0,0,0,0,.212,.335,.394
H. Goodman,4,1,2,0,0,0,1,.294,.350,.497
M. Toglia,4,0,1,0,0,0,1,.206,.274,.362
O. Miller,0,0,0,0,0,0,0,.182,.308,.182
M. Moniak,2,0,0,0,0,0,1,.223,.279,.411
S. Bouchard,1,0,0,0,0,1,0,.164,.250,.246
N. Martini,2,0,1,1,0,0,0,.256,.326,.295
K. Farmer,1,0,0,0,0,1,0,.239,.276,.330
A. Amador,3,0,0,0,0,0,2,.145,.217,.273
A. Trejo,3,0,0,0,0,0,0,.184,.200,.237
