player,ip,h,r,er,bb,k,hr,pc_st,era
S. Lugo,6.2,5,3,3,2,5,1,105-68,3.90
D. Lynch,0.1,0,0,0,0,0,0,2-2,0.00
C. Estevez,1.0,0,0,0,1,0,0,10-5,1.13
