player,ip,h,r,er,bb,k,hr,pc_st,era
L. Allen,5.2,2,0,0,2,6,0,95-54,2.30
P. Sewald,0.1,0,0,0,0,1,0,4-3,3.38
J. Cantillo,0.2,2,1,1,0,1,1,16-10,1.80
C. Smith,1.1,3,2,2,0,3,0,23-18,2.00
E. Clase,1.0,1,0,0,0,1,0,14-10,6.75
