player,ip,h,r,er,bb,k,hr,pc_st,era
N. Lodolo,6.0,4,1,1,1,7,0,89-60,3.22
L. Richardson,1.0,1,0,0,0,0,0,12-7,1.42
S. Barlow,1.0,0,0,0,0,1,0,18-12,4.43
B. Suter,1.0,0,0,0,0,0,0,5-5,1.75
