player,ip,h,r,er,bb,k,hr,pc_st,era
T. Skubal,6.0,4,0,0,0,11,0,91-61,2.34
S. Guenther,2.0,1,0,0,0,3,0,24-14,0.00
K. Maeda,1.0,0,0,0,1,1,0,17-8,9.00
