player,ip,h,r,er,bb,k,hr,pc_st,era
M. Wacha,6.1,8,2,2,2,3,0,88-56,2.96
J. Schreiber,0.2,0,0,0,1,2,0,15-7,1.59
S. Cruz,0.1,2,3,2,0,1,0,9-5,1.50
L. Erceg,0.2,0,0,0,0,0,0,8-5,0.52
C. Estevez,1.0,1,0,0,0,1,0,16-12,2.37
