player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. India,4,0,0,0,0,0,1,.195,.298,.244
T. Tolbert,0,0,0,0,0,0,0,.000,.000,.000
M. Canha,1,1,0,0,0,0,0,.368,.455,.474
B. Witt Jr.,3,0,1,0,0,2,1,.308,.381,.473
V. Pasquantino,4,0,0,0,0,1,1,.186,.260,.314
S. Perez,4,0,1,0,0,0,1,.185,.235,.293
F. Fermin,1,1,1,1,0,0,0,.212,.257,.303
M. Garcia,4,0,2,0,0,0,0,.289,.360,.434
M. Massey,3,0,0,1,0,0,0,.190,.214,.228
H. Renfroe,2,0,0,0,0,0,0,.135,.224,.154
C. Biggio,2,0,0,0,0,0,0,.188,.316,.188
D. Waters,4,2,3,1,1,0,1,.273,.314,.455
K. Isbel,4,0,1,1,0,0,0,.217,.230,.333
