player,ip,h,r,er,bb,k,hr,pc_st,era
C. Morton,5.0,6,5,5,2,10,2,98-63,9.72
B. Baker,1.0,1,0,0,0,1,0,15-13,0.00
K. Akin,1.0,2,2,2,0,0,1,15-12,4.91
M. Bowman,2.0,2,1,1,0,0,0,33-24,2.08
