player,ip,h,r,er,bb,k,hr,pc_st,era
B. Singer,6.0,4,2,2,0,8,1,88-61,3.62
I. Gibaut,1.0,1,0,0,0,1,0,10-9,4.22
T. Santillan,1.0,1,0,0,0,0,0,21-13,1.38
E. Pagan,1.0,0,0,0,0,0,0,9-8,2.38
