player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Altuve,4,1,2,0,0,0,0,.357,.400,.518
Z. Dezenzo,2,0,0,0,0,0,1,.091,.167,.091
I. Paredes,4,3,3,1,1,2,0,.275,.383,.353
Y. Alvarez,4,2,2,1,0,0,1,.222,.333,.311
C. McCormick,1,0,0,0,0,1,1,.200,.385,.200
C. Walker,3,2,2,1,0,2,0,.176,.250,.255
V. Caratini,0,0,0,0,0,0,0,.211,.250,.263
J. Pena,3,2,1,1,0,1,0,.196,.296,.348
Y. Diaz,5,2,3,5,1,0,0,.132,.195,.237
J. Meyers,3,1,2,1,0,1,0,.313,.395,.375
C. Smith,4,1,2,3,1,1,0,.241,.333,.414
M. Dubon,5,0,0,0,0,0,0,.059,.111,.118
