player,ip,h,r,er,bb,k,hr,pc_st,era
K. Senga,4.0,5,1,1,3,6,0,87-50,1.38
G. Cabrera,0.1,1,1,1,1,0,0,12-6,27.00
M. Kranick,2.2,1,1,1,0,2,1,31-24,2.66
R. Garrett,1.2,1,1,1,0,3,1,26-16,0.68
T. Adcock,0.1,1,0,0,1,0,0,18-8,0.00
