player,ip,h,r,er,bb,k,hr,pc_st,era
E. Rodriguez,5.1,5,4,3,4,10,1,101-57,5.92
J. Morillo,0.2,1,1,1,0,1,1,10-9,1.59
K. Ginkel,1.0,1,1,1,1,1,0,19-10,7.71
R. Thompson,1.0,1,0,0,0,0,0,11-7,3.68
S. Miller,1.0,4,2,2,0,2,1,22-18,1.23
J. Beeks,1.0,2,1,0,0,0,0,20-13,1.93
