player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Malloy,3,0,1,2,0,0,1,.235,.462,.353
K. Carpenter,0,0,0,0,0,1,0,.219,.235,.531
A. Ibanez,3,1,1,3,1,0,0,.158,.273,.316
T. Sweeney,1,0,0,1,0,0,0,.258,.324,.452
S. Torkelson,4,0,0,0,0,0,2,.289,.400,.553
R. Greene,4,0,0,0,0,0,3,.317,.333,.634
M. Margot,3,0,0,0,0,0,1,.316,.300,.316
Z. McKinstry,1,0,1,0,0,0,0,.321,.441,.393
J. Baez,4,0,1,0,0,0,1,.318,.318,.409
C. Keith,4,2,1,0,0,0,1,.185,.436,.259
J. Rogers,0,2,0,0,0,3,0,.222,.364,.333
R. Kreidler,1,1,0,0,0,1,1,.136,.208,.136
