player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,0,0,0,0,0,1,0,.345,.419,.602
O. Gonzalez,2,1,1,0,0,0,1,.267,.283,.289
B. Lockridge,1,1,1,1,0,0,0,.219,.286,.281
L. Arraez,5,1,3,3,0,0,0,.313,.346,.465
M. Machado,4,1,1,0,0,1,1,.278,.339,.417
G. Sheets,5,1,3,2,1,0,2,.281,.343,.461
X. Bogaerts,4,2,1,0,0,1,1,.243,.333,.346
J. Iglesias,4,0,0,0,0,0,0,.263,.325,.316
T. Wade,4,1,2,1,0,0,1,.310,.420,.381
J. Heyward,4,1,1,1,0,0,1,.208,.267,.302
M. Maldonado,3,0,1,0,0,0,0,.217,.234,.304
E. Diaz,2,0,0,0,0,0,1,.207,.303,.328
