player,ip,h,r,er,bb,k,hr,pc_st,era
M. Stroman,4.0,3,4,4,3,3,0,74-44,7.27
T. Hill,1.0,1,0,0,1,0,0,15-6,5.40
M. Leiter Jr.,1.0,0,0,0,0,0,0,5-3,6.23
F. Cruz,1.0,0,0,0,0,2,0,13-9,5.79
R. Yarbrough,2.0,0,0,0,1,5,0,38-24,9.82
