player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,3,0,0,0,0,0,0,.333,.406,.624
Y. Gurriel,1,0,0,0,0,0,1,.125,.222,.156
G. Sheets,3,0,0,0,0,0,2,.309,.351,.500
M. McCoy,1,0,0,0,0,0,0,.000,.000,.000
M. Machado,3,0,0,0,0,0,1,.283,.353,.446
C. Joe,1,0,0,0,0,0,1,.000,.000,.000
X. Bogaerts,3,0,0,0,0,0,2,.259,.347,.353
T. Ornelas,3,0,0,0,0,0,1,.000,.143,.000
O. Gonzalez,2,0,0,0,0,1,0,.286,.306,.314
J. Iglesias,3,0,2,0,0,0,0,.298,.355,.368
T. Wade,2,0,0,0,0,0,0,.261,.414,.261
M. Maldonado,2,0,0,0,0,0,1,.225,.244,.300
E. Diaz,1,0,0,0,0,0,0,.186,.300,.279
