player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Lindor,4,1,2,1,1,0,2,.301,.368,.509
J. Soto,4,0,0,0,0,0,2,.252,.372,.470
P. Alonso,4,1,1,0,0,0,3,.320,.434,.613
M. Vientos,4,1,2,2,1,0,0,.235,.309,.397
J. Azocar,0,1,0,0,0,0,0,.294,.333,.294
B. Baty,0,0,0,0,0,0,0,.227,.261,.485
B. Nimmo,3,1,2,2,1,0,1,.224,.288,.429
S. Marte,2,1,1,0,0,0,0,.197,.308,.318
J. McNeil,1,0,0,0,0,0,0,.231,.295,.487
L. Torrens,2,0,1,1,0,0,0,.247,.313,.425
F. Alvarez,2,0,2,0,0,0,0,.318,.388,.409
L. Acuna,4,0,1,0,0,0,0,.280,.336,.340
T. Taylor,3,0,0,0,0,0,1,.241,.287,.361
