player,ip,h,r,er,bb,k,hr,pc_st,era
C. Paddack,5.1,7,2,2,2,2,0,91-61,3.98
L. Varland,0.2,0,0,0,1,0,0,14-7,2.86
G. Jax,1.0,0,0,0,0,3,0,20-14,4.98
C. Sands,1.0,1,1,1,0,1,1,20-14,2.61
K. Funderburk,1.0,3,2,2,0,0,0,11-8,4.91
