player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Yastrzemski,4,2,2,2,1,1,0,.282,.414,.535
W. Adames,3,0,1,1,0,1,0,.202,.274,.269
J. Lee,3,1,1,1,0,2,0,.333,.398,.583
M. Chapman,5,1,1,2,1,0,2,.227,.393,.443
H. Ramos,3,0,0,0,0,1,2,.226,.278,.377
L. Wade Jr.,3,0,0,0,0,1,0,.094,.234,.219
T. Fitzgerald,3,1,0,0,0,1,0,.301,.354,.466
S. Huff,3,0,0,0,0,0,0,.200,.286,.320
W. Flores,1,0,1,0,0,0,0,.267,.320,.500
C. Koss,0,1,0,0,0,0,0,.176,.263,.176
P. Bailey,0,0,0,0,0,0,0,.167,.222,.258
L. Matos,4,0,1,0,0,0,0,.158,.179,.263
