player,ip,h,r,er,bb,k,hr,pc_st,era
M. Parker,4.0,7,4,4,2,5,0,96-59,3.97
J. Rutledge,3.0,3,2,2,0,3,0,47-32,2.81
L. Sims,0.2,1,3,3,4,0,0,32-12,13.86
A. Chafin,1.1,0,1,0,2,1,0,31-18,2.45
