player,ip,h,r,er,bb,k,hr,pc_st,era
G. Marquez,4.2,7,6,5,1,3,0,72-44,4.60
A. Chivilli,2.1,3,2,2,1,2,2,35-24,9.00
L. Peralta,1.0,0,0,0,0,1,0,13-7,5.06
