player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Mullins,3,0,0,0,0,0,2,.283,.421,.533
H. Kjerstad,0,1,0,0,0,1,0,.186,.237,.343
A. Rutschman,2,0,0,0,0,0,0,.208,.315,.354
M. Handley,2,0,0,0,0,0,2,.000,.000,.000
G. Henderson,3,1,1,1,1,0,0,.227,.269,.420
J. Holliday,1,0,1,0,0,0,0,.247,.326,.364
R. Mountcastle,3,0,0,1,0,0,1,.191,.240,.270
R. Laureano,3,0,0,0,0,1,1,.205,.234,.477
R. Urias,4,0,0,0,0,0,1,.279,.346,.353
E. Rivera,2,1,0,0,0,1,2,.000,.333,.000
J. Mateo,3,0,1,0,0,0,2,.160,.160,.240
D. Carlson,3,0,0,1,0,0,0,.000,.071,.000
