player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Palacios,4,0,0,0,0,0,2,.179,.303,.232
M. Vargas,4,1,2,0,0,0,0,.225,.320,.333
L. Robert Jr.,4,0,1,1,0,0,0,.190,.303,.339
M. Thaiss,3,0,1,0,0,1,0,.233,.397,.350
M. Taylor,0,0,0,0,0,0,0,.197,.250,.338
A. Vaughn,4,0,0,0,0,0,2,.182,.221,.285
B. Baldwin,4,0,1,0,0,0,2,.250,.282,.385
J. Rojas,4,0,1,0,0,0,1,.333,.455,.333
L. Sosa,3,0,0,0,0,0,2,.246,.269,.325
J. Amaya,2,0,0,0,0,0,0,.091,.117,.109
N. Maton,1,0,0,0,0,0,1,.170,.290,.321
C. Meidroth,0,0,0,0,0,0,0,.245,.362,.265
