player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J.P. Crawford,5,0,1,0,0,0,1,.285,.401,.382
J. Polanco,5,0,1,1,0,0,1,.340,.387,.680
J. Rodriguez,5,1,2,0,0,0,0,.233,.327,.407
C. Raleigh,3,1,1,0,0,1,0,.248,.368,.562
R. Arozarena,3,0,2,1,0,1,0,.234,.387,.419
L. Rivas,0,0,0,0,0,0,0,.341,.471,.366
R. Tellez,2,0,0,0,0,0,1,.203,.256,.430
D. Solano,1,0,0,0,0,0,1,.145,.158,.164
M. Mastrobuoni,1,0,0,0,0,0,0,.231,.311,.277
L. Taveras,4,0,1,1,0,0,2,.250,.250,.375
D. Moore,4,0,0,0,0,0,3,.280,.330,.524
B. Williamson,4,1,1,0,0,0,2,.253,.280,.342
