player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,4,2,1,1,1,1,2,.288,.392,.550
A. Barnes,1,1,1,0,0,0,0,.185,.214,.259
M. Betts,4,1,2,2,0,0,0,.240,.333,.385
E. Hernández,1,2,1,0,0,1,0,.169,.242,.441
F. Freeman,2,2,2,0,0,2,0,.308,.403,.600
M. Rojas,2,0,1,1,0,0,0,.256,.273,.279
T. Hernández,5,2,4,4,0,0,1,.297,.313,.613
W. Smith,5,1,2,2,0,1,0,.316,.426,.500
M. Muncy,4,0,0,0,0,1,1,.180,.295,.236
T. Edman,2,1,1,3,0,1,0,.252,.295,.523
C. Taylor,1,0,0,0,0,0,0,.267,.267,.267
A. Pages,5,2,3,2,1,0,0,.293,.369,.533
M. Conforto,4,1,0,0,0,1,1,.161,.298,.276
