player,ip,h,r,er,bb,k,hr,pc_st,era
W. Buehler,5.0,7,5,5,1,4,2,83-54,8.68
G. Weissert,1.0,1,0,0,0,1,0,17-11,0.00
Z. Kelly,1.0,2,1,1,0,1,0,22-13,2.25
B. Bernardino,1.0,0,0,0,0,3,0,12-9,0.00
C. Criswell,0.1,4,3,2,0,0,0,22-13,13.50
A. Chapman,0.2,0,0,0,1,0,0,10-5,0.00
