player,ip,h,r,er,bb,k,hr,pc_st,era
S. Smith,6.0,4,0,0,0,7,0,87-58,2.08
S. Wilson,1.0,1,1,1,0,1,1,13-11,1.64
J. Leasure,0.2,1,1,1,0,2,0,14-9,4.50
B. Eisert,0.1,1,1,1,1,0,0,15-9,4.96
T. Gilbert,0.2,0,0,0,2,0,0,22-11,4.63
C. Freeman,0.1,0,0,0,0,0,0,6-4,7.71
