player,ip,h,r,er,bb,k,hr,pc_st,era
K. Hart,5.0,10,5,5,0,2,2,79-55,6.48
A. Jacob,2.0,1,0,0,0,1,0,20-12,2.45
Y. Matsui,1.0,1,1,1,1,1,0,20-13,2.25
