player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Chourio,4,0,1,0,0,0,1,.289,.286,.592
I. Collins,3,0,0,0,0,0,1,.208,.240,.333
J. Bauers,1,0,0,0,0,0,0,.200,.368,.467
W. Contreras,3,0,1,0,0,0,0,.228,.328,.421
E. Haase,1,0,0,0,0,0,1,.182,.250,.455
R. Hoskins,3,1,1,0,0,0,1,.182,.315,.205
S. Frelick,3,0,0,0,0,1,1,.305,.397,.373
J. Ortiz,4,0,1,1,0,0,1,.211,.308,.228
G. Mitchell,4,0,0,0,0,0,1,.220,.319,.268
V. Capra,2,0,0,0,0,0,2,.100,.129,.200
O. Dunn,1,0,0,0,0,0,1,.188,.206,.250
B. Turang,3,0,1,0,0,0,1,.333,.365,.478
