player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Ward,5,0,0,0,0,0,2,.214,.258,.250
M. Trout,4,2,1,1,1,1,1,.160,.258,.440
J. Soler,5,0,1,0,0,0,4,.200,.276,.240
Y. Moncada,3,1,1,0,0,1,1,.200,.385,.300
Tim Anderson,1,0,0,0,0,0,0,.083,.083,.083
L. O'Hoppe,4,1,2,1,1,1,2,.250,.286,.700
N. Schanuel,4,1,1,1,0,1,0,.286,.333,.393
L. Rengifo,2,0,1,0,0,0,0,.200,.259,.280
K. Paris,2,1,2,0,0,0,0,.545,.643,1.000
J. Adell,5,0,2,3,0,0,2,.294,.333,.353
K. Newman,4,0,1,0,0,0,2,.077,.077,.077
T. d'Arnaud,1,0,0,0,0,0,0,.111,.200,.111
